콘텐츠ID,콘텐츠분류,제목,언어,타이틀SEO,연관콘텐츠,탐나오연동여부,평점,소셜네트워크URL,조회수,외부검색어,좋아요수,리뷰수,북마크수,일정등록수,다녀왔어요수,PC사용여부,모바일사용여부,공개여부,작성상태,사용여부,영문PC사용여부,중문PC사용여부,일문PC사용여부,영문작성상태,중문작성상태,일문작성상태,영문공개여부,중문공개여부,일문공개여부,영문모바일사용여부,중문모바일사용여부,등록일시,SNS공유수,인기점수,등록일시_1,템플릿여부,번역요청일시,영문번역요청일시,중문번역요청일시,일문번역요청일시,페이지SEO자동여부,영문페이지SEO자동여부,중문페이지SEO자동여부,일문페이지SEO자동여부,사진공유수,번체PC사용여부,말레이어PC사용여부,번체작성상태,말레이어작성상태,번체공개여부,말레이어공개여부,번체모바일사용여부,말어모바일사용여부,번체승인일시,말레이어승인일시,번체번역요청일시,말레이어번역요청일시,번체SEO자동여부,말레이어SEO자동여부
CONT_000000000501149,음식점,삼다도횟집,국문,삼다도횟집,,y,5,http://blog.daum.net/p7777877/6982272,8634,,2,5,26,0,1,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-05-30,1,17299,9311633,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,7,y,,y,,y,,y,,2019-10-08,,2019-10-08,,y,
CNTS_000000000020737,음식점,골목집갈치와고등어,국문,골목집갈치와고등어,,y,3,,2620,,1,1,8,0,0,y,y,y,y,y,y,y,y,m,m,m,y,y,y,y,y,2016-11-28,2,5248,9248380,n,2016-11-28,2016-11-28,2016-11-28,2016-11-28,y,n,n,n,1,,,,,,,,,,,,,,
CONT_000000000500429,관광지,어승생,국문,어승생,,y,5,,29588,,3,23,100,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-05-30,24,59300,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,69,y,y,y,y,y,y,y,y,2019-08-08,2019-08-08,2019-08-08,2019-08-08,y,y
CONT_000000000500445,관광지,연화못,국문,연화못,,y,4,,16891,,2,11,125,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-05-30,1,33843,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,16,y,,y,,y,,y,,2019-08-08,,2019-08-08,,y,
CONT_000000000501265,음식점,산방산에 옛촌,국문,산방산에 옛촌,,y,,,6561,,1,0,34,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-05-30,4,13125,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,,y,,y,,y,,y,,2019-11-05,,2019-11-05,,y,
CNTS_000000000018300,관광지,약천사,국문,약천사,,y,5,,32118,,10,23,182,0,1,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-10-06,32,64381,,n,2016-10-06,2016-10-06,2016-10-06,2016-10-06,y,y,y,y,32,y,,y,,y,,y,,2019-08-08,,2019-08-08,,y,
CONT_000000000500384,관광지,쇠소깍,국문,쇠소깍,,y,4,,137059,,49,143,1398,0,4,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-05-30,67,274980,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,232,y,y,y,y,y,y,y,y,2019-08-08,2019-08-08,2019-08-08,2019-08-08,y,y
CNTS_200000000008620,축제/행사,"제주,100년의 시간여행 - 제주다크투어",국문,"제주,100년의 시간여행 - 제주다크투어",,y,0,,13341,,0,0,4,0,0,y,y,n,y,y,,,,m,m,m,,,,,,2019-04-19,14,26682,,n,2019-04-19,,,,y,n,n,n,0,,,m,m,,,,,,,,,n,n
CNTS_000000000022145,숙박,쁘띠제주빅터펜션,국문,쁘띠제주빅터펜션,,y,,,1332,,0,0,1,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2017-07-12,0,2664,,n,2017-07-12,2017-07-12,2017-07-12,2017-07-12,n,n,n,n,,y,,y,,y,,y,,,,2019-02-25,,n,
CNTS_000000000022156,숙박,달빛바다,국문,달빛바다,,y,,http://blog.naver.com/jejudalbit,1580,,0,0,2,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2017-07-14,1,3160,,n,2017-07-14,2017-07-14,2017-07-14,2017-07-14,n,n,n,n,,y,,y,,y,,y,,,,2019-02-25,,n,
CNTS_000000000022160,테마여행,"여름휴가 피서지를 찾아서 <제주, 한여름 시원한 곳 어디 없을까>",국문,"여름휴가 피서지를 찾아서 <제주, 한여름 시원한 곳 어디 없을까>",,y,,,18650,,4,0,1,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2017-07-14,0,37312,,n,2017-07-14,2017-07-14,2017-07-14,2017-07-14,n,n,n,n,,y,y,y,y,y,y,y,y,2019-02-27,2019-02-18,2019-02-27,2019-02-18,n,n
CNTS_000000000020280,음식점,깡촌흑돼지,국문,깡촌흑돼지,,y,5,,2794,,1,2,17,0,0,y,y,y,y,y,y,y,y,m,m,m,y,y,y,y,y,2016-11-17,1,5601,9431031,n,2016-11-17,2016-11-17,2016-11-17,2016-11-17,y,n,n,n,2,,,,,,,,,,,,,,
CNTS_000000000020298,관광지,제주올레 6코스,국문,제주올레 6코스,,y,5,,16774,,3,10,60,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-11-17,7,33607,,n,2016-11-17,2016-11-17,2016-11-17,2016-11-17,y,y,y,y,15,y,,y,,y,,y,,2019-10-01,,2019-10-01,,y,
CNTS_000000000020299,관광지,제주올레 7코스,국문,제주올레 7코스,,y,4,,28522,,3,24,115,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-11-17,12,57173,,n,2016-11-17,2016-11-17,2016-11-17,2016-11-17,y,y,y,y,55,y,y,y,y,y,y,y,y,2019-08-08,2019-08-08,2019-08-08,2019-08-08,y,y
CONT_000000000500360,관광지,세미오름(샘이오름),국문,세미오름(샘이오름),,y,,,2781,,1,0,3,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-05-30,7,5565,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,,y,,y,,y,,y,,2019-08-08,,2019-08-08,,y,
CNTS_000000000018474,관광지,제주올레 1코스,국문,제주올레 1코스,,y,5,,17605,,6,8,49,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-10-07,13,35268,,n,2016-10-07,2016-10-07,2016-10-07,2016-10-07,y,y,y,y,12,y,,y,,y,,y,,2019-10-02,,2019-10-02,,y,
CONT_000000000501407,음식점,하르방밀면(운동장점),국문,하르방밀면(운동장점),,y,5,https://www.instagram.com/jeju_coldnoodle,2847,,0,3,23,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-05-30,0,5709,8994791,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,8,y,,y,,y,,y,,2019-11-01,,2019-11-01,,y,
CNTS_000000000018748,관광지,제주올레 9코스,국문,제주올레 9코스,,y,5,,5277,,2,6,24,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-10-13,3,10590,,n,2016-10-13,2016-10-13,2016-10-13,2016-10-13,y,y,y,y,4,y,,y,,y,,y,,2019-09-06,,2019-09-06,,y,
CONT_000000000500782,숙박,간드락게스트하우스,국문,간드락게스트하우스,,y,,blog.naver.com/renohouse,1598,,0,0,0,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-05-30,0,3196,8706522,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,,y,,y,,y,,y,,,,2020-09-14,,y,
CONT_000000000500786,숙박,게스트하우스 도치,국문,게스트하우스 도치,,y,5,,1534,,0,2,0,0,0,y,y,n,y,y,y,y,y,y,y,y,n,n,n,y,y,2016-05-30,0,3078,6817212,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,n,n,n,n,2,y,,y,,n,,y,,,,2019-02-25,,n,
CNTS_000000000021891,숙박,하루앤하루,국문,하루앤하루,,y,,,1107,,0,0,2,0,0,y,y,y,y,y,y,y,y,m,m,m,y,y,y,y,y,2017-04-11,0,2214,,n,2017-04-11,2017-04-11,2017-04-11,2017-04-11,n,n,n,n,,,,,,,,,,,,,,,
CNTS_000000000022356,숙박,이로제주,국문,이로제주,,y,,,659,,0,0,0,0,0,y,y,y,m,y,y,y,y,m,m,m,y,y,y,y,y,2017-08-04,0,1318,4799344,n,2017-08-04,2017-08-04,2017-08-04,2017-08-04,n,n,n,n,,y,,m,,y,,y,,,,2019-02-25,,n,
CNTS_000000000020400,숙박,애월애휴양펜션,국문,애월애휴양펜션,,y,,,3366,,0,0,2,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-11-18,2,6732,12279665,n,2016-11-18,2016-11-18,2016-11-18,2016-11-18,y,n,n,n,,y,,y,,y,,y,,,,2019-02-25,,n,
CNTS_000000000021335,테마여행,"마음이 차분해지는 가을의 순간 <김영갑의 제주, 삽시간의 황홀>",국문,"마음이 차분해지는 가을의 순간 <김영갑의 제주, 삽시간의 황홀>",,y,4,,9577,,2,1,1,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-12-25,0,19165,,n,2016-12-25,2016-12-25,2016-12-25,2016-12-25,n,n,n,n,,y,,y,,y,,y,,2019-02-27,,2019-02-27,,n,
CONT_000000000500539,관광지,제주국제컨벤션센터 icc,국문,제주국제컨벤션센터 icc,,y,5,blog.naver.com/iccjeju,12565,,1,6,17,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-05-30,0,25163,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,7,y,,y,,y,,y,,2019-08-08,,2019-08-08,,y,
CONT_000000000500547,관광지,제주돌문화공원,국문,제주돌문화공원,,y,5,https://www.instagram.com/jejustonepark/,43510,,8,47,175,0,6,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-05-30,12,87279,2204929,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,99,y,y,y,y,y,y,y,y,2019-12-03,2019-12-03,2019-02-25,2019-12-03,y,y
CNTS_000000000020972,음식점,마실디,국문,마실디,,y,,http://blog.naver.com/hallabong114,986,,1,0,4,0,0,y,y,y,y,y,y,y,y,m,m,m,y,y,y,y,y,2016-12-14,0,1975,,n,2016-12-14,2016-12-14,2016-12-14,2016-12-14,y,n,n,n,,,,,,,,,,,,,,,
CNTS_000000000020975,관광지,무릉곶자왈,국문,무릉곶자왈,,y,5,,5856,,2,4,19,0,0,y,y,y,y,y,y,y,y,m,m,m,y,y,y,y,y,2016-12-14,2,11738,,n,2016-12-14,2016-12-14,2016-12-14,2016-12-14,y,n,n,n,8,,,,,,,,,,,,,,
CNTS_000000000021750,테마여행,2017년 3월 추천 10선 <놓치면 후회할 꽃삼월의 제주>,국문,3월 추천 10선 <놓치면 후회할 꽃삼월의 제주>,,y,5,,29697,,5,1,4,0,0,y,y,y,y,y,y,y,y,y,y,m,y,y,y,y,y,2017-02-13,2,59414,,n,2017-02-13,2017-02-13,2017-02-13,2017-02-13,n,n,n,n,,y,y,y,y,y,y,y,y,2019-02-27,2019-02-14,2019-02-27,2019-02-14,n,n
CONT_000000000501250,음식점,바다의집,국문,바다의집,,y,5,,8351,,0,3,59,0,1,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-05-30,3,16717,9263176,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,4,y,,y,,y,,y,,2019-11-01,,2019-11-01,,y,
CONT_000000000501251,음식점,바다잔치,국문,바다잔치,,y,,,2100,,0,0,15,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-05-30,0,4200,9262313,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,,y,,y,,y,,y,,2019-11-01,,2019-11-01,,y,
CNTS_200000000009472,관광지,제주대학교병원,국문,제주대학교병원,,y,0,,2584,,0,0,1,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2019-11-11,2,5168,,n,2019-11-11,2019-11-11,2019-11-11,2019-11-11,y,y,y,y,0,y,,y,m,y,,y,,2019-11-11,,2019-11-11,,y,n
CNTS_000000000021338,쇼핑,돌코롱,국문,돌코롱,,y,5,,3251,,0,1,0,0,0,y,y,y,y,y,y,y,y,m,m,m,y,y,y,y,y,2016-12-25,2,6507,,n,2016-12-25,2016-12-25,2016-12-25,2016-12-25,y,n,n,n,,,,,,,,,,,,,,,
CNTS_000000000021468,음식점,노을과 어울림 카페,국문,노을과 어울림 카페,,y,,,953,,0,0,1,0,0,y,y,y,y,y,y,y,y,m,m,m,y,y,y,y,y,2016-12-27,1,1906,,n,2016-12-27,2016-12-27,2016-12-27,2016-12-27,n,n,n,n,,,,,,,,,,,,,,,
CNTS_000000000000972,관광지,김영갑갤러리 두모악,국문,김영갑갤러리 두모악,,y,5,,25443,,10,52,111,0,1,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-08-10,10,51176,,n,2016-08-10,2016-08-10,2016-08-10,2016-08-10,y,y,y,y,73,y,y,y,y,y,y,y,y,2019-08-08,2019-08-08,2019-08-08,2019-08-08,y,y
CNTS_000000000022235,음식점,마님순대,국문,마님순대,,y,,,780,,0,0,2,0,0,y,y,y,y,y,y,y,y,m,m,m,y,y,y,y,y,2017-07-28,2,1560,9397140,n,2017-07-28,2017-07-28,2017-07-28,2017-07-28,y,n,n,n,,,,,,,,,,,,,,,
CNTS_200000000008731,테마여행,"2019년 6월 놓치지 말아야 할 제주 관광 10선 <남다르게 실속 있게, 요망진 6월 제주>",국문,"2019년 6월 놓치지 말아야 할 제주 관광 10선 <남다르게 실속 있게, 요망진 6월 제주>",,y,0,,56237,,0,0,3,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2019-05-20,13,112474,,n,2019-05-20,2019-05-22,2019-05-22,2019-05-22,y,y,y,y,0,y,y,y,y,y,y,y,y,2019-05-22,2019-06-26,2019-05-22,2019-05-22,y,y
CNTS_200000000008732,축제/행사,제주 메밀축제,국문,제주 메밀축제,,y,0,,4158,,0,0,1,0,0,y,y,y,y,y,y,,,y,m,m,y,,,y,,2019-05-21,1,8316,,n,2019-05-21,2019-05-23,,,y,y,n,n,0,,,m,m,,,,,,,,,n,n
CNTS_200000000009471,관광지,THE WE,국문,THE WE,,y,0,,1451,,0,0,0,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2019-11-11,3,2902,,n,2019-11-11,2019-11-11,2019-11-11,2019-11-11,y,y,y,y,0,y,,y,m,y,,y,,2019-11-11,,2019-11-11,,y,n
CNTS_000000000000600,숙박,폴리폴리,국문,폴리폴리,,y,,http://blog.naver.com/jejupolipoli,1390,,0,0,1,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-07-02,0,2780,,n,2016-07-02,2016-07-02,2016-07-02,2016-07-02,n,n,n,n,,y,,y,,y,,y,,,,2019-02-25,,n,
CNTS_000000000000592,숙박,대명리조트 제주,국문,대명리조트 제주,,y,5,,23385,,8,16,46,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-07-03,3,46874,2542042,n,2016-07-03,2016-07-03,2016-07-03,2016-07-03,n,n,n,n,11,y,,y,,y,,y,,,,2019-02-25,,n,
CONT_000000000500850,숙박,라파로마휴양펜션,국문,라파로마휴양펜션,,y,,http://lapaloma.fortour.kr/,1583,,0,0,2,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-05-30,0,3166,7685099,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,,y,,y,,y,,y,,2019-07-19,,2019-07-19,,y,
CONT_000000000500576,관광지,제주 패러글라이딩 스쿨,국문,제주 패러글라이딩 스쿨,,y,,cafe.daum.net/jejufreemanpara,11533,,5,0,42,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-05-30,15,23081,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,,y,,y,,y,,y,,2019-08-08,,2019-08-08,,y,
CONT_000000000500400,관광지,신양섭지해수욕장,국문,신양섭지해수욕장,,y,5,,15195,,3,22,89,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-05-30,2,30509,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,36,y,,y,,y,,y,,2019-08-08,,2019-08-08,,y,
CONT_000000000500769,숙박,For 安(포안),국문,For 安(포안),,y,,,1254,,0,0,0,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-05-30,0,2508,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,,y,,y,,y,,y,,,,2020-09-28,,y,
CNTS_000000000019922,관광지,조천만세동산,국문,조천만세동산,,y,,,4685,,0,0,3,0,0,y,y,y,y,y,y,y,y,m,m,m,y,y,y,y,y,2016-10-28,1,9370,,n,2016-10-28,2016-10-28,2016-10-28,2016-10-28,y,n,n,n,,,,,,,,,,,,,,,
CONT_000000000501253,음식점,바캉스샤브샤브,국문,바캉스샤브샤브,,y,,,1533,,0,0,5,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-05-30,2,3066,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,,y,,y,,y,,y,,2019-11-05,,2019-11-05,,y,
CONT_000000000500793,숙박,그럼에도불구하고게스트하우스,국문,그럼에도불구하고게스트하우스,,y,,,1063,,0,0,1,0,0,y,y,y,m,y,y,y,y,m,m,m,y,y,y,y,y,2016-05-30,0,2126,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,n,n,n,n,,y,,m,,y,,y,,,,2019-02-25,,n,
CONT_000000000500795,숙박,기분좋은 민박,국문,기분좋은 민박,,y,,,1653,,0,0,0,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-05-30,0,3306,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,,y,,y,,y,,y,,2019-12-17,,2019-12-17,,y,
CNTS_000000000019197,관광지,중문골프장,국문,중문골프장,,y,5,,2632,,0,5,2,0,0,y,y,y,y,y,y,y,y,m,m,m,y,y,y,y,y,2016-10-20,0,5289,,n,2016-10-20,2016-10-20,2016-10-20,2016-10-20,y,n,n,n,13,,,,,,,,,,,,,,
CONT_000000000500802,숙박,꿈꾸는 노마드,국문,꿈꾸는 노마드,,y,,blog.naver.com/jejunomad,2339,,1,0,2,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-05-30,2,4681,7954588,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,,y,,y,,y,,y,,2019-12-19,,2019-12-19,,y,
CNTS_000000000022243,관광지,(주)제주해양레저 투명카약,국문,(주)제주해양레저 투명카약,,y,,,7543,,0,0,77,0,0,y,y,y,y,y,y,y,y,m,m,m,y,y,y,y,y,2017-07-28,3,15086,,n,2017-07-28,2017-07-28,2017-07-28,2017-07-28,y,n,n,n,,,,,,,,,,,,,,,
CONT_000000000500124,관광지,단산(바굼지오름),국문,단산(바굼지오름),,y,5,,8423,,0,3,15,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-05-30,3,16861,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,6,y,,y,,y,,y,,2019-08-02,,2019-08-02,,y,
CONT_000000000500004,관광지,알프스승마장포니,국문,알프스승마장포니,,y,3,blog.naver.com/alpspony,5925,,0,1,19,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-05-30,1,11855,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,1,y,,y,,y,,y,,2019-08-02,,2019-08-02,,y,
CNTS_000000000021082,숙박,더클라우드호텔,국문,더클라우드호텔,,y,5,,5951,,0,2,13,0,0,y,y,y,y,y,y,y,y,m,m,m,y,y,y,y,y,2016-12-18,3,11912,8692734,n,2016-12-18,2016-12-18,2016-12-18,2016-12-18,y,n,n,n,5,,,,,,,,,,,,,,
CNTS_200000000006426,관광지,야무치,국문,,,y,0,,0,,0,0,0,0,0,,,,u,y,,,,m,m,m,,,,,,2018-05-11,0,,,n,,,,,n,n,n,n,0,,,,,,,,,,,,,,
CNTS_200000000006427,관광지,야무치,국문,,,y,0,,0,,0,0,0,0,0,,,,u,y,,,,m,m,m,,,,,,2018-05-11,0,,,n,,,,,n,n,n,n,0,,,,,,,,,,,,,,
CNTS_200000000006428,관광지,야무치,국문,,,y,0,,0,,0,0,0,0,0,,,,u,y,,,,m,m,m,,,,,,2018-05-11,0,,,n,,,,,n,n,n,n,0,,,,,,,,,,,,,,
CNTS_200000000006429,관광지,야무치 코퍼레이션,국문,,,y,0,,0,,0,0,0,0,0,,,,u,y,,,,m,m,m,,,,,,2018-05-11,0,,,n,,,,,n,n,n,n,0,,,,,,,,,,,,,,
CNTS_200000000006430,관광지,야무치 코퍼레이션,국문,,,y,0,,0,,0,0,0,0,0,,,,u,y,,,,m,m,m,,,,,,2018-05-11,0,,,n,,,,,n,n,n,n,0,,,,,,,,,,,,,,
CNTS_000000000022876,관광지,조천중학원 옛터,국문,조천중학원 옛터,,y,,,1047,,1,0,0,0,0,y,y,y,y,y,y,y,y,m,m,m,y,y,y,y,y,2018-03-28,1,2097,,n,2018-03-28,2018-03-28,2018-03-28,2018-03-28,y,n,n,n,,,,,,,,,,,,,,,
CNTS_000000000022884,관광지,만벵듸 공동장지,국문,만벵듸 공동장지,,y,,,982,,1,0,0,0,0,y,y,y,y,y,y,y,y,m,m,m,y,y,y,y,y,2018-03-28,0,1967,,n,2018-03-28,2018-03-28,2018-03-28,2018-03-28,y,n,n,n,,,,,,,,,,,,,,,
CONT_000000000501183,음식점,깜돈 흑돼지,국문,깜돈 흑돼지,,y,,,1855,,0,0,5,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-05-30,0,3710,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,,y,,y,,y,,y,,2019-11-01,,2019-11-01,,y,
CNTS_000000000021093,숙박,트로피카 게스트하우스,국문,트로피카 게스트하우스,,y,,,1695,,2,0,5,0,0,y,y,n,y,y,y,y,y,y,m,m,n,y,y,y,y,2016-12-18,3,3396,13222700,n,2016-12-18,2016-12-18,2016-12-18,2016-12-18,y,n,n,n,,,,,,,,,,,,,,,
CNTS_000000000021094,숙박,하루나의 뜰,국문,하루나의 뜰,,y,,,2981,,1,0,2,0,0,y,y,n,y,y,y,y,y,m,m,m,y,y,y,y,y,2016-12-18,1,5965,,n,2016-12-18,2016-12-18,2016-12-18,2016-12-18,y,n,n,n,,,,,,,,,,,,,,,
CNTS_000000000020300,관광지,제주올레 7-1코스,국문,제주올레 7-1코스,,y,,,5100,,2,0,16,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-11-17,3,10206,,n,2016-11-17,2016-11-17,2016-11-17,2016-11-17,y,y,y,y,,y,,y,,y,,y,,2019-08-05,,2019-08-05,,y,
CONT_000000000500216,관광지,박물관은 살아있다,국문,박물관은 살아있다,,y,5,,54489,,21,31,436,0,1,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-05-30,32,109196,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,52,y,y,y,y,y,y,y,y,2019-08-05,2019-08-05,2019-08-05,2019-08-05,y,y
CONT_000000000500663,관광지,페인터즈:히어로 제주,국문,페인터즈:히어로 제주,,y,,,4804,,2,0,7,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-05-30,2,9614,8093341,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,n,n,n,n,,y,,y,,y,,y,,,,2019-02-25,,n,
CNTS_200000000008134,음식점,제주다음,국문,제주다음,,y,5,https://www.instagram.com/tea_injeju/,2234,,3,5,4,0,1,y,y,y,y,y,,,,m,m,m,,,,,,2019-01-12,6,4502,,n,,,,,y,n,n,n,0,,,,,,,,,,,,,,
CONT_000000000500803,숙박,꿈꾸는정원,국문,꿈꾸는정원,,y,,,1523,,0,0,1,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-05-30,0,3046,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,,y,,y,,y,,y,,2019-12-19,,2019-12-19,,y,
CNTS_000000000018155,숙박,퍼시픽호텔,국문,퍼시픽호텔,,y,4,,1459,,2,1,2,0,1,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-09-29,1,2929,455476,n,2016-09-29,2016-09-29,2016-09-29,2016-09-29,n,n,n,n,,y,,y,,y,,y,,,,2019-02-25,,n,
CONT_000000000500809,숙박,나무이야기,국문,나무이야기,,y,,cafe.naver.com/treestory123,805,,0,0,0,0,0,y,y,y,y,y,y,y,y,y,y,m,y,y,y,y,y,2016-05-30,0,1610,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,n,,y,,y,,y,,y,,2019-12-19,,2019-12-19,,y,
CNTS_300000000012489,테마여행,삼다도,국문,삼다도,,y,0,,27,,0,0,0,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2021-09-01,0,54,,n,2021-12-23,2021-12-24,2021-12-24,2021-12-24,y,y,y,y,0,y,y,y,y,y,y,y,y,,2021-12-29,2022-02-17,2021-12-24,y,y
CNTS_300000000012490,테마여행,제주의 역사,국문,제주의 역사,,y,0,,27,,0,0,0,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2021-09-01,0,54,,n,2021-12-23,2021-12-24,2021-12-24,2021-12-24,y,y,y,y,0,y,y,y,y,y,y,y,y,,2021-12-29,2022-02-17,2021-12-24,y,y
CNTS_000000000020132,숙박,유월그리고열두마루,국문,유월그리고열두마루,,y,3,,2435,,0,3,1,0,0,y,y,y,y,y,y,y,y,m,m,m,y,y,y,y,y,2016-11-10,3,4885,,n,2016-11-10,2016-11-10,2016-11-10,2016-11-10,n,n,n,n,6,,,,,,,,,,,,,,
CNTS_000000000022536,숙박,해뜨는집 (남원),국문,해뜨는집 (남원),,y,,,873,,0,0,1,0,0,y,y,y,y,y,y,y,y,m,m,m,y,y,y,y,y,2017-08-28,0,1746,1360166,n,2017-08-28,2017-08-28,2017-08-28,2017-08-28,y,n,n,n,,,,,,,,,,,,,,,
CNTS_000000000022537,음식점,엠츄로,국문,엠츄로,,y,,,419,,0,0,0,0,0,y,y,y,y,y,y,y,y,m,m,m,y,y,y,y,y,2017-08-28,0,838,9083496,n,2017-08-28,2017-08-28,2017-08-28,2017-08-28,y,n,n,n,,,,,,,,,,,,,,,
CONT_000000000500099,관광지,넥슨컴퓨터박물관,국문,넥슨컴퓨터박물관,,y,4,https://www.instagram.com/nexoncomputermuseum/,26549,,9,12,239,0,0,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,2016-05-30,12,53185,9582862,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,11,y,y,y,w,y,y,y,y,2019-08-02,,2019-08-02,2020-01-28,y,y
CNTS_000000000022476,음식점,더홀스카페,국문,더홀스카페,,y,,,878,,0,0,1,0,0,y,y,n,y,y,y,y,y,y,y,y,n,n,n,y,y,2017-08-16,0,1756,,n,2017-08-16,2017-08-16,2017-08-16,2017-08-16,n,n,n,n,,y,,y,,n,,y,,,,2019-02-25,,n,
